001  00001 |Loss: 2.548 | Acc: 7.000% 
001  00002 |Loss: 2.426 | Acc: 11.000% 
001  00003 |Loss: 2.400 | Acc: 10.000% 
001  00004 |Loss: 2.364 | Acc: 11.000% 
001  00005 |Loss: 2.369 | Acc: 11.000% 
001  00006 |Loss: 2.359 | Acc: 11.000% 
001  00007 |Loss: 2.363 | Acc: 13.000% 
001  00008 |Loss: 2.353 | Acc: 14.000% 
001  00009 |Loss: 2.332 | Acc: 14.000% 
001  00010 |Loss: 2.315 | Acc: 15.000% 
001  00011 |Loss: 2.307 | Acc: 14.000% 
001  00012 |Loss: 2.286 | Acc: 15.000% 
001  00013 |Loss: 2.275 | Acc: 16.000% 
001  00014 |Loss: 2.258 | Acc: 16.000% 
001  00015 |Loss: 2.236 | Acc: 17.000% 
001  00016 |Loss: 2.228 | Acc: 17.000% 
001  00017 |Loss: 2.210 | Acc: 18.000% 
001  00018 |Loss: 2.200 | Acc: 18.000% 
001  00019 |Loss: 2.177 | Acc: 19.000% 
001  00020 |Loss: 2.160 | Acc: 20.000% 
001  00021 |Loss: 2.153 | Acc: 20.000% 
001  00022 |Loss: 2.143 | Acc: 20.000% 
001  00023 |Loss: 2.137 | Acc: 21.000% 
001  00024 |Loss: 2.122 | Acc: 21.000% 
001  00025 |Loss: 2.112 | Acc: 22.000% 
001  00026 |Loss: 2.102 | Acc: 22.000% 
001  00027 |Loss: 2.092 | Acc: 22.000% 
001  00028 |Loss: 2.087 | Acc: 23.000% 
001  00029 |Loss: 2.078 | Acc: 23.000% 
001  00030 |Loss: 2.073 | Acc: 23.000% 
001  00031 |Loss: 2.064 | Acc: 24.000% 
001  00032 |Loss: 2.062 | Acc: 24.000% 
001  00033 |Loss: 2.062 | Acc: 24.000% 
001  00034 |Loss: 2.056 | Acc: 24.000% 
001  00035 |Loss: 2.050 | Acc: 24.000% 
001  00036 |Loss: 2.043 | Acc: 24.000% 
001  00037 |Loss: 2.042 | Acc: 24.000% 
001  00038 |Loss: 2.036 | Acc: 25.000% 
001  00039 |Loss: 2.024 | Acc: 25.000% 
001  00040 |Loss: 2.019 | Acc: 25.000% 
001  00041 |Loss: 2.012 | Acc: 25.000% 
001  00042 |Loss: 2.014 | Acc: 25.000% 
001  00043 |Loss: 2.006 | Acc: 26.000% 
001  00044 |Loss: 1.998 | Acc: 26.000% 
001  00045 |Loss: 1.991 | Acc: 26.000% 
001  00046 |Loss: 1.985 | Acc: 26.000% 
001  00047 |Loss: 1.979 | Acc: 27.000% 
001  00048 |Loss: 1.972 | Acc: 27.000% 
001  00049 |Loss: 1.969 | Acc: 27.000% 
001  00050 |Loss: 1.965 | Acc: 27.000% 
001  00051 |Loss: 1.962 | Acc: 27.000% 
001  00052 |Loss: 1.958 | Acc: 28.000% 
001  00053 |Loss: 1.951 | Acc: 28.000% 
001  00054 |Loss: 1.945 | Acc: 28.000% 
001  00055 |Loss: 1.945 | Acc: 28.000% 
001  00056 |Loss: 1.942 | Acc: 28.000% 
001  00057 |Loss: 1.935 | Acc: 28.000% 
001  00058 |Loss: 1.934 | Acc: 28.000% 
001  00059 |Loss: 1.933 | Acc: 28.000% 
001  00060 |Loss: 1.929 | Acc: 29.000% 
001  00061 |Loss: 1.922 | Acc: 29.000% 
001  00062 |Loss: 1.917 | Acc: 29.000% 
001  00063 |Loss: 1.913 | Acc: 29.000% 
001  00064 |Loss: 1.909 | Acc: 29.000% 
001  00065 |Loss: 1.907 | Acc: 29.000% 
001  00066 |Loss: 1.903 | Acc: 30.000% 
001  00067 |Loss: 1.900 | Acc: 30.000% 
001  00068 |Loss: 1.895 | Acc: 30.000% 
001  00069 |Loss: 1.892 | Acc: 30.000% 
001  00070 |Loss: 1.888 | Acc: 30.000% 
001  00071 |Loss: 1.883 | Acc: 30.000% 
001  00072 |Loss: 1.882 | Acc: 30.000% 
001  00073 |Loss: 1.881 | Acc: 30.000% 
001  00074 |Loss: 1.875 | Acc: 30.000% 
001  00075 |Loss: 1.872 | Acc: 31.000% 
001  00076 |Loss: 1.868 | Acc: 31.000% 
001  00077 |Loss: 1.863 | Acc: 31.000% 
001  00078 |Loss: 1.865 | Acc: 31.000% 
001  00079 |Loss: 1.862 | Acc: 31.000% 
001  00080 |Loss: 1.857 | Acc: 31.000% 
001  00081 |Loss: 1.852 | Acc: 31.000% 
001  00082 |Loss: 1.848 | Acc: 31.000% 
001  00083 |Loss: 1.844 | Acc: 32.000% 
001  00084 |Loss: 1.841 | Acc: 32.000% 
001  00085 |Loss: 1.838 | Acc: 32.000% 
001  00086 |Loss: 1.834 | Acc: 32.000% 
001  00087 |Loss: 1.831 | Acc: 32.000% 
001  00088 |Loss: 1.829 | Acc: 32.000% 
001  00089 |Loss: 1.826 | Acc: 32.000% 
001  00090 |Loss: 1.824 | Acc: 32.000% 
001  00091 |Loss: 1.821 | Acc: 32.000% 
001  00092 |Loss: 1.818 | Acc: 33.000% 
001  00093 |Loss: 1.814 | Acc: 33.000% 
001  00094 |Loss: 1.812 | Acc: 33.000% 
001  00095 |Loss: 1.808 | Acc: 33.000% 
001  00096 |Loss: 1.805 | Acc: 33.000% 
001  00097 |Loss: 1.802 | Acc: 33.000% 
001  00098 |Loss: 1.799 | Acc: 33.000% 
001  00099 |Loss: 1.795 | Acc: 33.000% 
001  00100 |Loss: 1.794 | Acc: 33.000% 
001  00101 |Loss: 1.791 | Acc: 34.000% 
001  00102 |Loss: 1.789 | Acc: 34.000% 
001  00103 |Loss: 1.785 | Acc: 34.000% 
